Tweet,Sarcasm (yes/no)
I genuinely love musicians.,no
I find vegetarians to be wonderful.,no
Because artists really make everything better.,yes
Can't wait for more of the game.,yes
"Oh great, another artists. Just what I needed.",yes
"this movie are so wonderful, said no one ever.",yes
"Oh great, another my new phone. Just what I needed.",yes
Nothing better than a the meal moment.,yes
"Oh great, another writers. Just what I needed.",yes
I am always excited for the workshop.,no
Nothing better than a the concert moment.,yes
Had a great time with the conference.,no
Nothing better than a the game moment.,yes
this movie are truly inspiring.,no
Nothing better than a writers moment.,yes
"Everyone loves the concert, right?",yes
"Oh great, another athletes. Just what I needed.",yes
I find this book to be wonderful.,no
Nothing better than a the meal moment.,yes
the workshop are genuinely amazing.,no
I just love when this book happens.,yes
writers are genuinely amazing.,no
I find the conference to be wonderful.,no
the meal have always been great.,no
I find artists to be wonderful.,no
vegetarians are genuinely amazing.,no
my new phone are truly inspiring.,no
Can't wait for more of the concert.,no
Can't wait for more of this movie.,yes
"this book are so wonderful, said no one ever.",yes
"the conference are so wonderful, said no one ever.",yes
I just love when doctors happens.,yes
the concert are genuinely amazing.,no
Can't wait for more of the concert.,yes
athletes are truly inspiring.,no
I am always excited for this movie.,no
"the concert are so wonderful, said no one ever.",yes
"Had a this book, best experience ever. Not.",yes
musicians have always been great.,no
"vegetarians are so wonderful, said no one ever.",yes
I am always excited for the concert.,no
Can't wait for more of musicians.,yes
"the game are so wonderful, said no one ever.",yes
Can't wait for more of this movie.,yes
Nothing better than a vegetarians moment.,yes
Because the meal really make everything better.,yes
Can't wait for more of artists.,no
"Had a the workshop, best experience ever. Not.",yes
"Had a musicians, best experience ever. Not.",yes
I just love when the game happens.,yes
Nothing better than a my new phone moment.,yes
"Had a my new phone, best experience ever. Not.",yes
Had a great time with the meal.,no
I just love when artists happens.,yes
"Oh great, another artists. Just what I needed.",yes
Can't wait for more of this book.,yes
"Oh great, another musicians. Just what I needed.",yes
I find musicians to be wonderful.,no
"Everyone loves doctors, right?",yes
artists are genuinely amazing.,no
"artists are so wonderful, said no one ever.",yes
doctors have always been great.,no
"Oh great, another musicians. Just what I needed.",yes
Had a great time with doctors.,no
Because the concert really make everything better.,yes
I find musicians to be wonderful.,no
"Oh great, another writers. Just what I needed.",yes
athletes are genuinely amazing.,no
musicians are genuinely amazing.,no
I just love when my new phone happens.,yes
I just love when this book happens.,yes
doctors are truly inspiring.,no
the concert are genuinely amazing.,no
"the workshop are so wonderful, said no one ever.",yes
Can't wait for more of the conference.,yes
Can't wait for more of musicians.,yes
I find this book to be wonderful.,no
I just love when this book happens.,yes
"the conference are so wonderful, said no one ever.",yes
"Everyone loves the game, right?",yes
I find engineers to be wonderful.,no
I am always excited for vegetarians.,no
the workshop are truly inspiring.,no
I am always excited for musicians.,no
the concert have always been great.,no
Because vegetarians really make everything better.,yes
I am always excited for engineers.,no
Because this movie really make everything better.,yes
Had a great time with athletes.,no
Can't wait for more of engineers.,no
the concert have always been great.,no
Can't wait for more of the workshop.,no
Because musicians really make everything better.,yes
"Oh great, another the meal. Just what I needed.",yes
vegetarians are truly inspiring.,no
Nothing better than a doctors moment.,yes
"scientists are so wonderful, said no one ever.",yes
"Oh great, another athletes. Just what I needed.",yes
Because vegetarians really make everything better.,yes
athletes have always been great.,no
Because the conference really make everything better.,yes
I just love when writers happens.,yes
Can't wait for more of engineers.,no
Had a great time with this movie.,no
Because the conference really make everything better.,yes
the meal are genuinely amazing.,no
I am always excited for this movie.,no
"Had a the workshop, best experience ever. Not.",yes
"Had a the conference, best experience ever. Not.",yes
Had a great time with the workshop.,no
Can't wait for more of vegetarians.,yes
Because vegetarians really make everything better.,yes
"Everyone loves engineers, right?",yes
"Had a musicians, best experience ever. Not.",yes
Can't wait for more of engineers.,no
this movie have always been great.,no
Nothing better than a the meal moment.,yes
Can't wait for more of this book.,no
I find the meal to be wonderful.,no
"Had a this book, best experience ever. Not.",yes
Nothing better than a artists moment.,yes
Nothing better than a musicians moment.,yes
I am always excited for this book.,no
Can't wait for more of this book.,no
I find writers to be wonderful.,no
Nothing better than a the conference moment.,yes
"Had a doctors, best experience ever. Not.",yes
"the workshop are so wonderful, said no one ever.",yes
athletes are genuinely amazing.,no
I am always excited for athletes.,no
the game are truly inspiring.,no
the game are genuinely amazing.,no
Because writers really make everything better.,yes
I am always excited for musicians.,no
Can't wait for more of the concert.,no
Nothing better than a the conference moment.,yes
"Oh great, another this book. Just what I needed.",yes
"Everyone loves doctors, right?",yes
Nothing better than a this book moment.,yes
I just love when the game happens.,yes
I find this book to be wonderful.,no
"the game are so wonderful, said no one ever.",yes
the meal are truly inspiring.,no
Had a great time with vegetarians.,no
I genuinely love artists.,no
"Oh great, another scientists. Just what I needed.",yes
Had a great time with engineers.,no
I am always excited for musicians.,no
Can't wait for more of the game.,no
doctors are truly inspiring.,no
the workshop have always been great.,no
"Had a my new phone, best experience ever. Not.",yes
"vegetarians are so wonderful, said no one ever.",yes
Can't wait for more of athletes.,yes
"Oh great, another vegetarians. Just what I needed.",yes
"Everyone loves the workshop, right?",yes
I find the meal to be wonderful.,no
Had a great time with the conference.,no
I just love when the conference happens.,yes
"scientists are so wonderful, said no one ever.",yes
this movie are genuinely amazing.,no
"Had a my new phone, best experience ever. Not.",yes
"Everyone loves the workshop, right?",yes
Nothing better than a my new phone moment.,yes
vegetarians are genuinely amazing.,no
Can't wait for more of the workshop.,yes
I find engineers to be wonderful.,no
"Oh great, another the game. Just what I needed.",yes
the conference are truly inspiring.,no
writers are genuinely amazing.,no
"Had a the game, best experience ever. Not.",yes
writers are genuinely amazing.,no
"Had a the conference, best experience ever. Not.",yes
artists are truly inspiring.,no
I genuinely love doctors.,no
scientists have always been great.,no
my new phone have always been great.,no
"Oh great, another the meal. Just what I needed.",yes
the concert have always been great.,no
I am always excited for this book.,no
Can't wait for more of the meal.,yes
"Had a athletes, best experience ever. Not.",yes
Can't wait for more of musicians.,no
Can't wait for more of writers.,yes
"Oh great, another athletes. Just what I needed.",yes
"Had a the concert, best experience ever. Not.",yes
Because vegetarians really make everything better.,yes
I genuinely love the concert.,no
Because artists really make everything better.,yes
I find this book to be wonderful.,no
"Oh great, another athletes. Just what I needed.",yes
"Had a athletes, best experience ever. Not.",yes
"Everyone loves doctors, right?",yes
"Everyone loves the workshop, right?",yes
I just love when the meal happens.,yes
"this book are so wonderful, said no one ever.",yes
Can't wait for more of the workshop.,no
"Had a artists, best experience ever. Not.",yes
this book are genuinely amazing.,no
"Everyone loves the concert, right?",yes
Nothing better than a the game moment.,yes
"Everyone loves the meal, right?",yes
I am always excited for engineers.,no
"Oh great, another the game. Just what I needed.",yes
"Oh great, another this movie. Just what I needed.",yes
"Had a the game, best experience ever. Not.",yes
I find athletes to be wonderful.,no
Because this book really make everything better.,yes
athletes are genuinely amazing.,no
Can't wait for more of writers.,yes
Can't wait for more of this book.,no
I genuinely love musicians.,no
"Oh great, another musicians. Just what I needed.",yes
Can't wait for more of engineers.,yes
I genuinely love engineers.,no
Because the concert really make everything better.,yes
engineers have always been great.,no
"Everyone loves this movie, right?",yes
"Had a musicians, best experience ever. Not.",yes
Because my new phone really make everything better.,yes
Nothing better than a musicians moment.,yes
artists are genuinely amazing.,no
Had a great time with scientists.,no
"doctors are so wonderful, said no one ever.",yes
Can't wait for more of doctors.,no
"Had a this book, best experience ever. Not.",yes
the meal have always been great.,no
I just love when artists happens.,yes
the workshop are genuinely amazing.,no
Because my new phone really make everything better.,yes
I just love when my new phone happens.,yes
the game are genuinely amazing.,no
"musicians are so wonderful, said no one ever.",yes
I genuinely love musicians.,no
"Everyone loves artists, right?",yes
Nothing better than a writers moment.,yes
Can't wait for more of scientists.,yes
I find scientists to be wonderful.,no
Because vegetarians really make everything better.,yes
"Had a the concert, best experience ever. Not.",yes
I genuinely love the conference.,no
I genuinely love my new phone.,no
Nothing better than a doctors moment.,yes
artists are genuinely amazing.,no
"the concert are so wonderful, said no one ever.",yes
"Everyone loves this movie, right?",yes
Can't wait for more of the workshop.,no
Because engineers really make everything better.,yes
"Oh great, another artists. Just what I needed.",yes
"Everyone loves the concert, right?",yes
I am always excited for engineers.,no
"this book are so wonderful, said no one ever.",yes
"Oh great, another writers. Just what I needed.",yes
"Had a doctors, best experience ever. Not.",yes
artists are truly inspiring.,no
Because vegetarians really make everything better.,yes
this movie have always been great.,no
athletes are genuinely amazing.,no
scientists are genuinely amazing.,no
I genuinely love engineers.,no
Had a great time with athletes.,no
"Oh great, another vegetarians. Just what I needed.",yes
Because scientists really make everything better.,yes
"Oh great, another scientists. Just what I needed.",yes
the game are genuinely amazing.,no
musicians are truly inspiring.,no
the meal have always been great.,no
I just love when scientists happens.,yes
"the game are so wonderful, said no one ever.",yes
I just love when engineers happens.,yes
I am always excited for the concert.,no
Because vegetarians really make everything better.,yes
the game have always been great.,no
"Everyone loves writers, right?",yes
Because vegetarians really make everything better.,yes
Can't wait for more of this movie.,no
"Had a the meal, best experience ever. Not.",yes
"this book are so wonderful, said no one ever.",yes
this book have always been great.,no
"Everyone loves the concert, right?",yes
Can't wait for more of artists.,yes
I just love when the conference happens.,yes
I genuinely love the workshop.,no
"the game are so wonderful, said no one ever.",yes
Can't wait for more of the concert.,yes
"engineers are so wonderful, said no one ever.",yes
artists have always been great.,no
I am always excited for the conference.,no
I genuinely love engineers.,no
"Had a the game, best experience ever. Not.",yes
Can't wait for more of artists.,yes
Can't wait for more of doctors.,no
Because musicians really make everything better.,yes
Can't wait for more of scientists.,yes
"Everyone loves the concert, right?",yes
I genuinely love athletes.,no
I am always excited for the game.,no
Had a great time with the workshop.,no
the workshop are truly inspiring.,no
"writers are so wonderful, said no one ever.",yes
writers are genuinely amazing.,no
I am always excited for athletes.,no
my new phone are genuinely amazing.,no
"Everyone loves athletes, right?",yes
the workshop are truly inspiring.,no
Can't wait for more of my new phone.,yes
"engineers are so wonderful, said no one ever.",yes
Had a great time with vegetarians.,no
Because scientists really make everything better.,yes
"Had a the concert, best experience ever. Not.",yes
Nothing better than a the meal moment.,yes
"Everyone loves doctors, right?",yes
"Had a vegetarians, best experience ever. Not.",yes
Can't wait for more of athletes.,yes
doctors are genuinely amazing.,no
athletes have always been great.,no
Nothing better than a vegetarians moment.,yes
Nothing better than a the game moment.,yes
I find the meal to be wonderful.,no
Nothing better than a the conference moment.,yes
"Oh great, another engineers. Just what I needed.",yes
Because this movie really make everything better.,yes
Because writers really make everything better.,yes
Had a great time with my new phone.,no
I genuinely love writers.,no
"Oh great, another engineers. Just what I needed.",yes
I just love when this book happens.,yes
Nothing better than a engineers moment.,yes
"Oh great, another athletes. Just what I needed.",yes
"Oh great, another the concert. Just what I needed.",yes
"Oh great, another the game. Just what I needed.",yes
"this movie are so wonderful, said no one ever.",yes
Can't wait for more of vegetarians.,no
Had a great time with musicians.,no
"Oh great, another the concert. Just what I needed.",yes
"Oh great, another my new phone. Just what I needed.",yes
Nothing better than a musicians moment.,yes
Had a great time with my new phone.,no
I find writers to be wonderful.,no
"Everyone loves the game, right?",yes
I just love when the conference happens.,yes
athletes are truly inspiring.,no
"Oh great, another artists. Just what I needed.",yes
this book have always been great.,no
Can't wait for more of writers.,yes
"Everyone loves artists, right?",yes
I just love when athletes happens.,yes
I just love when athletes happens.,yes
I just love when musicians happens.,yes
"Oh great, another engineers. Just what I needed.",yes
Nothing better than a musicians moment.,yes
I genuinely love athletes.,no
Because the concert really make everything better.,yes
doctors have always been great.,no
Can't wait for more of this movie.,no
I just love when the game happens.,yes
Had a great time with musicians.,no
Nothing better than a the concert moment.,yes
I am always excited for doctors.,no
"musicians are so wonderful, said no one ever.",yes
doctors are genuinely amazing.,no
Because this book really make everything better.,yes
Nothing better than a artists moment.,yes
"Everyone loves my new phone, right?",yes
Can't wait for more of artists.,no
scientists have always been great.,no
the game have always been great.,no
Had a great time with the meal.,no
I genuinely love engineers.,no
Can't wait for more of musicians.,yes
Nothing better than a artists moment.,yes
my new phone are genuinely amazing.,no
Because this movie really make everything better.,yes
I just love when engineers happens.,yes
doctors are genuinely amazing.,no
I find engineers to be wonderful.,no
athletes are truly inspiring.,no
"Had a scientists, best experience ever. Not.",yes
Can't wait for more of the game.,yes
"the meal are so wonderful, said no one ever.",yes
I just love when the meal happens.,yes
"Everyone loves the meal, right?",yes
Can't wait for more of the conference.,no
Had a great time with the game.,no
"Everyone loves musicians, right?",yes
"Everyone loves this book, right?",yes
the workshop have always been great.,no
I find this book to be wonderful.,no
I find doctors to be wonderful.,no
Nothing better than a writers moment.,yes
I am always excited for this movie.,no
the workshop have always been great.,no
I find vegetarians to be wonderful.,no
the concert are genuinely amazing.,no
I am always excited for athletes.,no
athletes are truly inspiring.,no
"Had a athletes, best experience ever. Not.",yes
Nothing better than a my new phone moment.,yes
"Everyone loves musicians, right?",yes
the concert have always been great.,no
"Had a writers, best experience ever. Not.",yes
Can't wait for more of this movie.,yes
"Had a musicians, best experience ever. Not.",yes
Can't wait for more of the conference.,no
I find the game to be wonderful.,no
Nothing better than a writers moment.,yes
I just love when musicians happens.,yes
Can't wait for more of athletes.,yes
"Everyone loves vegetarians, right?",yes
Nothing better than a musicians moment.,yes
Nothing better than a the game moment.,yes
Because athletes really make everything better.,yes
I just love when musicians happens.,yes
Had a great time with vegetarians.,no
"Had a this movie, best experience ever. Not.",yes
I genuinely love scientists.,no
Can't wait for more of this book.,no
I find musicians to be wonderful.,no
I genuinely love the conference.,no
I genuinely love the concert.,no
Nothing better than a musicians moment.,yes
I find scientists to be wonderful.,no
vegetarians are genuinely amazing.,no
I just love when writers happens.,yes
"musicians are so wonderful, said no one ever.",yes
"athletes are so wonderful, said no one ever.",yes
I just love when musicians happens.,yes
vegetarians are genuinely amazing.,no
"this movie are so wonderful, said no one ever.",yes
I just love when vegetarians happens.,yes
"the meal are so wonderful, said no one ever.",yes
"Had a scientists, best experience ever. Not.",yes
Had a great time with vegetarians.,no
my new phone are genuinely amazing.,no
"Had a athletes, best experience ever. Not.",yes
I find athletes to be wonderful.,no
"Oh great, another writers. Just what I needed.",yes
I just love when the workshop happens.,yes
I am always excited for vegetarians.,no
Can't wait for more of writers.,no
Had a great time with this book.,no
"Oh great, another artists. Just what I needed.",yes
Because artists really make everything better.,yes
I find artists to be wonderful.,no
I am always excited for the meal.,no
I just love when writers happens.,yes
I just love when the conference happens.,yes
artists have always been great.,no
Because this book really make everything better.,yes
I find scientists to be wonderful.,no
athletes are genuinely amazing.,no
Had a great time with scientists.,no
I am always excited for this book.,no
"Oh great, another doctors. Just what I needed.",yes
I am always excited for engineers.,no
I find this book to be wonderful.,no
Nothing better than a the meal moment.,yes
Had a great time with the workshop.,no
engineers are truly inspiring.,no
Had a great time with this movie.,no
Nothing better than a the conference moment.,yes
Nothing better than a artists moment.,yes
Had a great time with my new phone.,no
I am always excited for athletes.,no
this movie are genuinely amazing.,no
Can't wait for more of this book.,yes
I just love when this movie happens.,yes
vegetarians are genuinely amazing.,no
I just love when my new phone happens.,yes
the meal are genuinely amazing.,no
the meal are truly inspiring.,no
I genuinely love doctors.,no
I am always excited for writers.,no
"Had a doctors, best experience ever. Not.",yes
I am always excited for the concert.,no
"Everyone loves scientists, right?",yes
"this movie are so wonderful, said no one ever.",yes
I just love when doctors happens.,yes
Because the conference really make everything better.,yes
"musicians are so wonderful, said no one ever.",yes
"Had a artists, best experience ever. Not.",yes
I find my new phone to be wonderful.,no
the meal have always been great.,no
Because the game really make everything better.,yes
"Had a my new phone, best experience ever. Not.",yes
I genuinely love this book.,no
"the game are so wonderful, said no one ever.",yes
the meal are genuinely amazing.,no
Nothing better than a scientists moment.,yes
artists are truly inspiring.,no
"Oh great, another musicians. Just what I needed.",yes
Had a great time with artists.,no
I genuinely love vegetarians.,no
I am always excited for this book.,no
I just love when the concert happens.,yes
I genuinely love this movie.,no
Because athletes really make everything better.,yes
I am always excited for this book.,no
I just love when scientists happens.,yes
Can't wait for more of the concert.,yes
musicians are genuinely amazing.,no
Can't wait for more of the conference.,no
this book have always been great.,no
I find musicians to be wonderful.,no
Can't wait for more of doctors.,no
"Oh great, another doctors. Just what I needed.",yes
this movie have always been great.,no
I find artists to be wonderful.,no
I am always excited for my new phone.,no
I find doctors to be wonderful.,no
Had a great time with engineers.,no
I just love when artists happens.,yes
the game are truly inspiring.,no
"Oh great, another artists. Just what I needed.",yes
Can't wait for more of vegetarians.,no
"Everyone loves engineers, right?",yes
I genuinely love artists.,no
"this movie are so wonderful, said no one ever.",yes
artists have always been great.,no
Nothing better than a the concert moment.,yes
"engineers are so wonderful, said no one ever.",yes
Had a great time with artists.,no
"Oh great, another the conference. Just what I needed.",yes
the game have always been great.,no
Because engineers really make everything better.,yes
the meal are genuinely amazing.,no
I find the concert to be wonderful.,no
"scientists are so wonderful, said no one ever.",yes
Because the workshop really make everything better.,yes
I find the conference to be wonderful.,no
artists are genuinely amazing.,no
I just love when this movie happens.,yes
artists are truly inspiring.,no
"the concert are so wonderful, said no one ever.",yes
I am always excited for the game.,no
I am always excited for the conference.,no
the concert have always been great.,no
Nothing better than a athletes moment.,yes
Can't wait for more of doctors.,no
I am always excited for engineers.,no
engineers are truly inspiring.,no
"Everyone loves artists, right?",yes
the game have always been great.,no
the game are genuinely amazing.,no
Had a great time with this book.,no
I just love when the conference happens.,yes
Had a great time with the concert.,no
I am always excited for doctors.,no
I just love when the conference happens.,yes
Nothing better than a the conference moment.,yes
Can't wait for more of artists.,no
"Everyone loves athletes, right?",yes
I genuinely love the workshop.,no
"Oh great, another this book. Just what I needed.",yes
I am always excited for writers.,no
the game are truly inspiring.,no
I find writers to be wonderful.,no
"Had a the workshop, best experience ever. Not.",yes
"the concert are so wonderful, said no one ever.",yes
"Oh great, another artists. Just what I needed.",yes
this movie are truly inspiring.,no
I am always excited for the workshop.,no
I genuinely love the concert.,no
Can't wait for more of writers.,yes
Can't wait for more of this book.,yes
"Oh great, another the meal. Just what I needed.",yes
I genuinely love writers.,no
"Everyone loves the concert, right?",yes
Because athletes really make everything better.,yes
Can't wait for more of artists.,yes
I genuinely love my new phone.,no
Can't wait for more of the game.,no
the concert are genuinely amazing.,no
"the game are so wonderful, said no one ever.",yes
Can't wait for more of writers.,yes
I just love when this book happens.,yes
I genuinely love musicians.,no
my new phone have always been great.,no
Can't wait for more of engineers.,yes
engineers are genuinely amazing.,no
"Had a artists, best experience ever. Not.",yes
I am always excited for musicians.,no
Can't wait for more of engineers.,no
"scientists are so wonderful, said no one ever.",yes
"Everyone loves artists, right?",yes
"Everyone loves engineers, right?",yes
I just love when the meal happens.,yes
I genuinely love my new phone.,no
I just love when the meal happens.,yes
Nothing better than a the meal moment.,yes
I genuinely love athletes.,no
Had a great time with scientists.,no
I find artists to be wonderful.,no
"Oh great, another this movie. Just what I needed.",yes
I just love when my new phone happens.,yes
this book are truly inspiring.,no
"Everyone loves musicians, right?",yes
I am always excited for scientists.,no
I find this book to be wonderful.,no
athletes are truly inspiring.,no
"musicians are so wonderful, said no one ever.",yes
Nothing better than a the concert moment.,yes
Had a great time with my new phone.,no
Can't wait for more of scientists.,no
Because this book really make everything better.,yes
"engineers are so wonderful, said no one ever.",yes
"engineers are so wonderful, said no one ever.",yes
"Had a engineers, best experience ever. Not.",yes
Because doctors really make everything better.,yes
Had a great time with vegetarians.,no
I genuinely love the concert.,no
Had a great time with this book.,no
Nothing better than a athletes moment.,yes
artists are genuinely amazing.,no
Because my new phone really make everything better.,yes
"Oh great, another vegetarians. Just what I needed.",yes
"Everyone loves the conference, right?",yes
"Oh great, another the workshop. Just what I needed.",yes
Because the game really make everything better.,yes
"Had a the game, best experience ever. Not.",yes
I genuinely love scientists.,no
Nothing better than a athletes moment.,yes
Can't wait for more of musicians.,no
I just love when vegetarians happens.,yes
"the game are so wonderful, said no one ever.",yes
I find this book to be wonderful.,no
Nothing better than a the meal moment.,yes
Nothing better than a scientists moment.,yes
"Oh great, another this book. Just what I needed.",yes
I genuinely love this book.,no
I am always excited for scientists.,no
Can't wait for more of this book.,no
Had a great time with artists.,no
Nothing better than a athletes moment.,yes
musicians are genuinely amazing.,no
"Had a this book, best experience ever. Not.",yes
Can't wait for more of engineers.,yes
Nothing better than a this book moment.,yes
Can't wait for more of the meal.,no
